episode,total_reward,red_reward,black_reward,steps,result,elapsed_time
3056,30.1900,25.0400,5.1500,204,red_win,4124.2
3057,-0.7800,0.5600,-1.3400,61,draw,4124.5
3058,12.5400,5.5000,7.0400,167,draw,4125.2
3059,10.7700,5.5700,5.2000,142,draw,4126.0
3060,23.3000,26.4300,-3.1300,79,red_win,4126.4
3061,26.8700,1.7700,25.1000,132,black_win,4127.6
3062,24.7600,25.1700,-0.4100,141,red_win,4128.2
3063,12.8500,6.1600,6.6900,237,draw,4129.7
3064,28.7500,25.2700,3.4800,146,red_win,4130.3
3065,13.2700,6.1900,7.0800,195,draw,4131.0
3066,30.0000,5.0600,24.9400,223,black_win,4132.9
3067,0.0200,0.5400,-0.5200,88,draw,4133.3
3068,11.8700,6.7700,5.1000,234,draw,4134.6
3069,27.4900,2.4700,25.0200,171,black_win,4135.5
3070,4.9600,3.5500,1.4100,93,draw,4136.0
3071,8.0500,2.7500,5.3000,99,draw,4137.2
3072,12.5800,5.4000,7.1800,163,draw,4138.0
3073,27.0200,1.8500,25.1700,117,black_win,4138.6
3074,10.2600,7.0300,3.2300,193,draw,4139.7
3075,2.0600,1.4800,0.5800,80,draw,4140.2
3076,25.6500,25.3500,0.3000,153,red_win,4141.5
3077,26.9700,26.4200,0.5500,116,red_win,4141.9
3078,30.5400,5.1500,25.3900,169,black_win,4142.7
3079,28.8100,25.1800,3.6300,140,red_win,4143.3
3080,24.6800,-1.4900,26.1700,143,black_win,4144.0
3081,26.0700,1.2500,24.8200,212,black_win,4146.0
3082,28.3800,3.0000,25.3800,183,black_win,4146.8
3083,28.3200,25.1700,3.1500,189,red_win,4147.5
3084,29.5400,25.1000,4.4400,168,red_win,4148.2
3085,30.7700,25.6300,5.1400,146,red_win,4148.7
3086,10.4600,5.8800,4.5800,173,draw,4151.9
3087,12.5500,6.2200,6.3300,166,draw,4152.6
3088,29.8800,4.5500,25.3300,134,black_win,4153.1
3089,14.3400,7.2900,7.0500,189,draw,4153.9
3090,26.9400,26.5300,0.4100,119,red_win,4154.6
3091,-1.0200,-0.3900,-0.6300,109,draw,4155.7
3092,28.6000,3.3500,25.2500,161,black_win,4156.3
3093,14.0900,7.2300,6.8600,214,draw,4157.5
3094,28.9800,25.0000,3.9800,224,red_win,4158.4
3095,29.6500,4.5000,25.1500,157,black_win,4159.0
3096,30.2900,25.0300,5.2600,194,red_win,4160.9
3097,14.0200,7.0700,6.9500,221,draw,4161.9
3098,30.5700,25.2300,5.3400,166,red_win,4162.7
3099,25.7000,0.6200,25.0800,148,black_win,4163.4
3100,14.0700,7.1600,6.9100,216,draw,4164.5
3101,25.9300,25.2500,0.6800,125,red_win,4166.2
3102,25.6500,0.6600,24.9900,153,black_win,4166.9
3103,30.3200,25.2800,5.0400,191,red_win,4167.9
3104,13.2700,6.1300,7.1400,195,draw,4168.8
3105,29.1100,4.8800,24.2300,211,black_win,4169.9
3106,26.1800,0.6200,25.5600,100,black_win,4171.5
3107,10.2800,3.4200,6.8600,191,draw,4172.2
3108,14.0900,7.2900,6.8000,214,draw,4173.4
3109,29.2100,4.2800,24.9300,201,black_win,4174.2
3110,28.7000,3.3400,25.3600,151,black_win,4174.9
3111,26.3800,1.3500,25.0300,181,black_win,4176.3
3112,13.0600,6.0300,7.0300,216,draw,4177.4
3113,11.6300,4.0300,7.6000,151,draw,4178.4
3114,29.4400,4.2100,25.2300,178,black_win,4179.2
3115,11.5800,5.3100,6.2700,156,draw,4179.9
3116,11.6000,7.2000,4.4000,160,draw,4183.9
3117,4.9300,4.5200,0.4100,114,draw,4184.5
3118,29.1600,24.9600,4.2000,206,red_win,4185.5
3119,30.3100,5.4500,24.8600,192,black_win,4186.7
3120,26.0600,-0.2300,26.2900,106,black_win,4187.2
